month,mean temperature,value of vapour pressure in hpa,vapour pressure in mmhg,saturated vapour pressure at given temp in mmHg,wind speed km/hr,evaporation,loss every month
jan,20.587,22.14156667,12.72805,19.93415522,7.2042,3.762267902,1737313.198
feb,22.9625,24.07713333,13.00854,22.41292701,7.25,4.919669955,2271770.051
mar,25.6458,26.42684444,13.94799,25.77931072,7.325,6.209225005,2867251.571
apr,27.0083,27.86808889,16.25798,28.05476948,6.9917,6.102635505,2818031.433
may,26.4,27.13696667,17.37668,26.87956025,9.8375,5.52444004,2551036.461
jun,24.2042,24.92561111,17.63834,23.58147957,16.4708,4.342016168,2005025.211
jul,23.3458,23.99708889,17.54905,22.3053362,16.9875,3.530204798,1630152.756
aug,22.9875,24.13576667,17.53092,22.49202481,13.2708,3.2673489,1508773.037
sep,23.475,24.36791111,17.42313,22.80758455,9.8917,3.136785342,1448482.33
oct,23.025,24.11203333,17.02684,22.45997873,7.3958,2.86003411,1320686.122
nov,21.7708,22.90997778,15.39998,20.88801669,6.9042,2.828229524,1305999.628
dec,20.2167,21.80288889,13.74438,19.52594512,7.3417,3.036410068,1402131.752
Total loss (m3),,,,,,,22866653.55
